Sr No._x,Reference No (URN),Journal Date,Date of Purchase,Date of Expiry,Name of the Purchaser,Prefix,Bond Number,Denominations_x,Issue Branch Code,Issue Teller,Status,Sr No._y,Date of Encashment ,Name of the Political Party,Account no. of Political Party,Denominations_y,Pay Branch Code,Pay Teller
157,8.47E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5478,10000000,847,8424020,Paid,898,16-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,4567455
158,8.47E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5498,10000000,847,8424020,Paid,899,16-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,4567455
159,8.47E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5524,10000000,847,8424020,Paid,1312,18-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,3771431
160,8.47E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5488,10000000,847,8424020,Paid,900,16-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,4567455
161,8.47E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5477,10000000,847,8424020,Paid,901,16-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,4567455
162,8.47E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5492,10000000,847,8424020,Paid,902,16-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,4567455
163,8.47E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5491,10000000,847,8424020,Paid,903,16-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,4567455
164,8.47E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5513,10000000,847,8424020,Paid,904,16-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,4567455
165,8.47E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5461,10000000,847,8424020,Paid,1313,18-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,3771431
166,8.47E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5509,10000000,847,8424020,Paid,905,16-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,4567455
167,8.47E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5481,10000000,847,8424020,Paid,906,16-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,4567455
168,1.20E+18,12-Apr-19,12-Apr-19,26-Apr-19,MERLIN RECREATION PVT LTD,TL,11450,1000000,1,5899230,Paid,2247,22-Apr-19,ALL INDIA TRINAMOOL CONGRESS,*******0688,1000000,1,3476510
169,1.20E+18,12-Apr-19,12-Apr-19,26-Apr-19,MERLIN RECREATION PVT LTD,TL,11449,1000000,1,5899230,Paid,2248,22-Apr-19,ALL INDIA TRINAMOOL CONGRESS,*******0688,1000000,1,3476510
170,1.20E+18,12-Apr-19,12-Apr-19,26-Apr-19,MERLIN RECREATION PVT LTD,OL,1121,100000,1,5899230,Paid,2253,22-Apr-19,ALL INDIA TRINAMOOL CONGRESS,*******0688,100000,1,3476510
171,1.20E+18,12-Apr-19,12-Apr-19,26-Apr-19,MERLIN RECREATION PVT LTD,OL,1120,100000,1,5899230,Paid,2254,22-Apr-19,ALL INDIA TRINAMOOL CONGRESS,*******0688,100000,1,3476510
172,1.20E+18,12-Apr-19,12-Apr-19,26-Apr-19,MERLIN RECREATION PVT LTD,OL,1123,100000,1,5899230,Paid,2255,22-Apr-19,ALL INDIA TRINAMOOL CONGRESS,*******0688,100000,1,3476510
173,1.20E+18,12-Apr-19,12-Apr-19,26-Apr-19,MERLIN RECREATION PVT LTD,OL,1116,100000,1,5899230,Paid,2256,22-Apr-19,ALL INDIA TRINAMOOL CONGRESS,*******0688,100000,1,3476510
174,1.20E+18,12-Apr-19,12-Apr-19,26-Apr-19,MERLIN RECREATION PVT LTD,OL,1122,100000,1,5899230,Paid,2257,22-Apr-19,ALL INDIA TRINAMOOL CONGRESS,*******0688,100000,1,3476510
175,8.13E+20,12-Apr-19,12-Apr-19,26-Apr-19,MSPL LTD,OC,588,10000000,813,5144485,Paid,1308,18-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,3771431
176,7.82E+19,12-Apr-19,12-Apr-19,26-Apr-19,MYRIAD DEVELOPERS,TL,2357,1000000,78,7601204,Paid,2574,23-Apr-19,BHARATIYA JANATA PARTY,*******8244,1000000,691,3300196
177,7.82E+19,12-Apr-19,12-Apr-19,26-Apr-19,MYRIAD DEVELOPERS,OL,10036,100000,78,7601204,Paid,2686,23-Apr-19,BHARATIYA JANATA PARTY,*******8244,100000,691,3300196
178,7.82E+19,12-Apr-19,12-Apr-19,26-Apr-19,MYRIAD DEVELOPERS,OL,10032,100000,78,7601204,Paid,2687,23-Apr-19,BHARATIYA JANATA PARTY,*******8244,100000,691,3300196
179,7.82E+19,12-Apr-19,12-Apr-19,26-Apr-19,MYRIAD DEVELOPERS,OL,10038,100000,78,7601204,Paid,2688,23-Apr-19,BHARATIYA JANATA PARTY,*******8244,100000,691,3300196
180,7.82E+19,12-Apr-19,12-Apr-19,26-Apr-19,MYRIAD DEVELOPERS,OL,10034,100000,78,7601204,Paid,2689,23-Apr-19,BHARATIYA JANATA PARTY,*******8244,100000,691,3300196
181,7.82E+19,12-Apr-19,12-Apr-19,26-Apr-19,MYRIAD DEVELOPERS,OL,10030,100000,78,7601204,Paid,2690,23-Apr-19,BHARATIYA JANATA PARTY,*******8244,100000,691,3300196
182,3.00E+20,12-Apr-19,12-Apr-19,26-Apr-19,OMKAR VENTURES PVT LTD,OC,7070,10000000,300,4180496,Paid,1807,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
183,3.00E+20,12-Apr-19,12-Apr-19,26-Apr-19,OMKAR VENTURES PVT LTD,OC,7066,10000000,300,4180496,Paid,1808,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
184,3.00E+20,12-Apr-19,12-Apr-19,26-Apr-19,OMKAR VENTURES PVT LTD,OC,7068,10000000,300,4180496,Paid,1809,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
185,3.00E+20,12-Apr-19,12-Apr-19,26-Apr-19,OMKAR VENTURES PVT LTD,OC,7064,10000000,300,4180496,Paid,1810,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
186,1.36E+21,12-Apr-19,12-Apr-19,26-Apr-19,PATEL HIGHWAY MANAGEMENT PVT LTD,OC,2855,10000000,1355,5137969,Paid,1314,18-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2511282
187,3.00E+20,12-Apr-19,12-Apr-19,26-Apr-19,PHL FINIVEST PVT LTD,OC,7018,10000000,300,4180496,Paid,1195,18-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,5189071
188,3.00E+20,12-Apr-19,12-Apr-19,26-Apr-19,PHL FINIVEST PVT LTD,OC,7052,10000000,300,4180496,Paid,1196,18-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,5189071
189,3.00E+20,12-Apr-19,12-Apr-19,26-Apr-19,PHL FINIVEST PVT LTD,OC,6678,10000000,300,4180496,Paid,1197,18-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,5189071
190,3.00E+20,12-Apr-19,12-Apr-19,26-Apr-19,PHL FINIVEST PVT LTD,OC,6684,10000000,300,4180496,Paid,1198,18-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,5189071
191,3.00E+20,12-Apr-19,12-Apr-19,26-Apr-19,PHL FINIVEST PVT LTD,OC,7002,10000000,300,4180496,Paid,1199,18-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,5189071
192,3.00E+20,12-Apr-19,12-Apr-19,26-Apr-19,PHL FINIVEST PVT LTD,OC,7048,10000000,300,4180496,Paid,1200,18-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,5189071
193,3.00E+20,12-Apr-19,12-Apr-19,26-Apr-19,PHL FINIVEST PVT LTD,OC,7020,10000000,300,4180496,Paid,1201,18-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,5189071
194,3.00E+20,12-Apr-19,12-Apr-19,26-Apr-19,PHL FINIVEST PVT LTD,OC,7008,10000000,300,4180496,Paid,1202,18-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,5189071
195,3.00E+20,12-Apr-19,12-Apr-19,26-Apr-19,PHL FINIVEST PVT LTD,OC,6694,10000000,300,4180496,Paid,1203,18-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,5189071
196,3.00E+20,12-Apr-19,12-Apr-19,26-Apr-19,PHL FINIVEST PVT LTD,OC,7024,10000000,300,4180496,Paid,1204,18-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,5189071
197,3.00E+20,12-Apr-19,12-Apr-19,26-Apr-19,PHL FINIVEST PVT LTD,OC,7006,10000000,300,4180496,Paid,1205,18-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,5189071
198,3.00E+20,12-Apr-19,12-Apr-19,26-Apr-19,PHL FINIVEST PVT LTD,OC,7026,10000000,300,4180496,Paid,1206,18-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,5189071
199,3.00E+20,12-Apr-19,12-Apr-19,26-Apr-19,PHL FINIVEST PVT LTD,OC,7028,10000000,300,4180496,Paid,1207,18-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,5189071
